  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA2408                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.400     Re =     3.731 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2255   0.00540   0.00053  -0.0487   0.5003   0.2466
   0.010   0.2265   0.00537   0.00053  -0.0487   0.5006   0.2538
   0.020   0.2276   0.00537   0.00053  -0.0486   0.4998   0.2551
   0.030   0.2287   0.00538   0.00053  -0.0486   0.4972   0.2555
   0.040   0.2299   0.00538   0.00053  -0.0486   0.4964   0.2562
   0.050   0.2311   0.00538   0.00053  -0.0486   0.4960   0.2566
   0.060   0.2323   0.00537   0.00053  -0.0486   0.4968   0.2606
   0.070   0.2335   0.00537   0.00053  -0.0486   0.4958   0.2614
   0.080   0.2345   0.00537   0.00054  -0.0485   0.4941   0.2634
   0.090   0.2356   0.00536   0.00054  -0.0485   0.4928   0.2662
   0.100   0.2366   0.00537   0.00054  -0.0484   0.4906   0.2687
   0.110   0.2378   0.00537   0.00054  -0.0484   0.4899   0.2697
   0.120   0.2387   0.00538   0.00054  -0.0484   0.4868   0.2714
   0.130   0.2400   0.00537   0.00054  -0.0484   0.4885   0.2736
   0.140   0.2411   0.00537   0.00054  -0.0484   0.4864   0.2752
   0.150   0.2423   0.00537   0.00054  -0.0483   0.4859   0.2768
   0.160   0.2435   0.00537   0.00054  -0.0483   0.4855   0.2777
   0.170   0.2446   0.00536   0.00054  -0.0483   0.4843   0.2796
   0.180   0.2457   0.00536   0.00054  -0.0483   0.4835   0.2828
   0.190   0.2469   0.00535   0.00054  -0.0483   0.4842   0.2830
   0.200   0.2479   0.00536   0.00054  -0.0482   0.4805   0.2851
   0.210   0.2491   0.00536   0.00054  -0.0482   0.4797   0.2863
   0.220   0.2501   0.00536   0.00054  -0.0482   0.4786   0.2908
   0.230   0.2512   0.00536   0.00055  -0.0482   0.4770   0.2923
   0.240   0.2524   0.00534   0.00054  -0.0481   0.4780   0.2949
   0.250   0.2535   0.00536   0.00055  -0.0481   0.4753   0.2947
   0.260   0.2545   0.00535   0.00055  -0.0481   0.4744   0.2984
   0.270   0.2557   0.00536   0.00055  -0.0481   0.4735   0.2989
   0.280   0.2569   0.00534   0.00055  -0.0480   0.4743   0.3038
   0.290   0.2580   0.00535   0.00055  -0.0480   0.4731   0.3024
   0.300   0.2590   0.00535   0.00055  -0.0480   0.4703   0.3060
   0.310   0.2602   0.00535   0.00055  -0.0480   0.4689   0.3069
   0.320   0.2611   0.00534   0.00055  -0.0479   0.4672   0.3131
   0.330   0.2624   0.00534   0.00055  -0.0479   0.4677   0.3133
   0.340   0.2635   0.00533   0.00055  -0.0479   0.4678   0.3171
   0.350   0.2647   0.00533   0.00055  -0.0479   0.4663   0.3189
   0.360   0.2658   0.00534   0.00055  -0.0479   0.4646   0.3188
   0.370   0.2670   0.00533   0.00056  -0.0478   0.4646   0.3205
   0.380   0.2679   0.00533   0.00056  -0.0478   0.4620   0.3262
   0.390   0.2688   0.00534   0.00056  -0.0477   0.4586   0.3273
   0.400   0.2702   0.00532   0.00056  -0.0477   0.4613   0.3301
   0.410   0.2712   0.00533   0.00056  -0.0477   0.4587   0.3318
   0.420   0.2723   0.00534   0.00056  -0.0477   0.4574   0.3327
   0.430   0.2735   0.00534   0.00056  -0.0477   0.4564   0.3341
   0.440   0.2745   0.00532   0.00056  -0.0476   0.4552   0.3391
   0.450   0.2756   0.00533   0.00056  -0.0476   0.4533   0.3403
   0.460   0.2767   0.00533   0.00057  -0.0476   0.4511   0.3407
   0.470   0.2779   0.00533   0.00057  -0.0476   0.4517   0.3414
   0.480   0.2791   0.00533   0.00057  -0.0476   0.4517   0.3430
   0.490   0.2803   0.00532   0.00057  -0.0475   0.4519   0.3458
   0.500   0.2812   0.00535   0.00057  -0.0475   0.4463   0.3459
   0.510   0.2825   0.00534   0.00057  -0.0475   0.4478   0.3464
   0.520   0.2836   0.00532   0.00057  -0.0475   0.4480   0.3515
   0.530   0.2847   0.00532   0.00057  -0.0474   0.4466   0.3530
   0.540   0.2857   0.00534   0.00058  -0.0474   0.4441   0.3534
   0.550   0.2868   0.00535   0.00058  -0.0474   0.4422   0.3530
   0.560   0.2880   0.00533   0.00058  -0.0473   0.4430   0.3574
   0.570   0.2891   0.00532   0.00058  -0.0473   0.4426   0.3612
   0.580   0.2903   0.00533   0.00058  -0.0473   0.4407   0.3597
   0.590   0.2914   0.00532   0.00058  -0.0473   0.4405   0.3660
   0.600   0.2926   0.00534   0.00058  -0.0473   0.4386   0.3626
   0.610   0.2935   0.00532   0.00058  -0.0472   0.4369   0.3695
   0.620   0.2946   0.00533   0.00058  -0.0472   0.4351   0.3695
   0.630   0.2958   0.00533   0.00058  -0.0472   0.4343   0.3715
   0.640   0.2968   0.00532   0.00059  -0.0471   0.4335   0.3759
   0.650   0.2977   0.00534   0.00059  -0.0471   0.4295   0.3767
   0.660   0.2990   0.00531   0.00059  -0.0471   0.4328   0.3825
